category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey
server	4	360	40	7	server	otherprop	Objects						
paper towel holder	4	281	40	7	paper towel holder	otherprop	Objects						
office supply	4		40	7		otherprop	Objects						
panel	4	408	38	7	board	otherstructure	Objects						
toilet brush holder	4		40	7		otherprop	Objects						
magazine	4	71	40	7	magazine	otherprop	Objects					n06595351	magazine.n.01
kitchen rack	4	50	39	6	stand	otherfurniture	Furniture					n04038440	rack.n.05
table object	4		40	7		otherprop	Objects						
range hood	4	380	38	7	range hood	otherstructure	Objects	range_hood				n04053677	range_hood.n.01
bath	4	136	36	7	bathtub	bathtub	Objects	bathtub	bathtub	tub	02808440	n02808440	bathtub.n.01
trim	4		40	7		otherprop	Objects					n04484160	trimming.n.02
scanner	4		40	7		otherprop	Objects						
bathrobe	4		40	7		otherprop	Objects					n02807616	bathrobe.n.01
door and post	4		40	7		otherprop	Objects						
pouff	4		40	7		otherprop	Objects						
spring curtain	3	89	16	13	curtain	curtain	Window	curtain					
recycle	3		40	7		otherprop	Objects						
fax	3		40	7		otherprop	Objects					n03316105	facsimile.n.02
rolling shelf	3		40	7		otherprop	Objects						
flat-screen television	3	172	25	11	television	television	TV						
futon	3	576	39	6	mattress	otherfurniture	Furniture					n03408444	futon.n.01
stack of chairs	3		40	7		otherprop	Objects						
dustpan	3		40	7		otherprop	Objects					n03259009	dustpan.n.02
hand towel	3	135	27	7	towel	towel	Objects					n03490006	hand_towel.n.01
floor lamp	3	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03367059	floor_lamp.n.01
mainboard	3		40	7		otherprop	Objects						
kitchen shelf	3	42	15	6	shelves	shelves	Furniture	bookshelf		bookshelf	02871439	n02871439	bookshelf.n.01
organizer	3		40	7		otherprop	Objects					n03918737	personal_digital_assistant.n.01
freezer	3	17	24	6	refridgerator	refridgerator	Furniture					n03170635	deep-freeze.n.01
furnace	3	551	39	6	furnace	otherfurniture	Furniture					n03404449	furnace.n.01
stock	3		40	7		otherprop	Objects						
map	3	107	40	7	map	otherprop	Objects					n03720163	map.n.01
helmet	3		40	7		otherprop	Objects			helmet	03513137	n03513137	helmet.n.02
wallpaper	3		38	7		otherstructure	Objects						
wall cabinet	3	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01
office equipment	3		40	7		otherprop	Objects						
hair dryer	3	577	40	7	hair dryer	otherprop	Objects					n03483316	hand_blower.n.01
backsplash	3		40	7		otherprop	Objects						
exercise ball	3	60	40	7	ball	otherprop	Objects						
jeremiah	3		40	7		otherprop	Objects					n11082842	jeremiah.n.01
flush	3		40	7		otherprop	Objects						
fridge just	3		40	7		otherprop	Objects						
folded clothes	3	141	21	7	clothes	clothes	Objects						
window counter	3	7	12	6	counter	counter	Furniture						
iron	3		40	7		otherprop	Objects					n03584829	iron.n.04
studio light	3	62	38	7	light	otherstructure	Objects						
sconce	3	62	38	7	light	otherstructure	Objects					n04148703	sconce.n.03
sofa set	3		40	7		otherprop	Objects						
baseboard	3		40	7		otherprop	Objects					n02800354	baseboard.n.01
sink counter	3	7	12	6	counter	counter	Furniture						
kitchen slab	3		38	7		otherstructure	Objects					n04233405	slab.n.01
cabinet door	3	28	8	12	door	door	Wall	door					
exercise machine	3	220	40	7	machine	otherprop	Objects						
wood	3		40	7		otherprop	Objects						
teatowels	3		40	7		otherprop	Objects						
workbench	3	204	39	6	bench	otherfurniture	Furniture	bench		table	04379243	n04600486	workbench.n.01
backwall	3		40	7		otherprop	Objects						
cubby	3		40	7		otherprop	Objects					n03144365	cubby.n.01
water bottle	3	2	40	7	bottle	otherprop	Objects	bottle		bottle	02876657	n04557648	water_bottle.n.01
kitchen sink	3	24	34	7	sink	sink	Objects	sink				n03620889	kitchen_sink.n.01
sink area	3		40	7		otherprop	Objects						
handicap bar	3	51	38	7	bar	otherstructure	Objects						
painter	3	594	40	7	cat	otherprop	Objects					n02125311	cougar.n.01
tank	3		40	7		otherprop	Objects						
washstand	3	524	39	6	furniture	otherfurniture	Furniture					n04555400	washstand.n.01
purse	3	181	40	7	purse	otherprop	Objects					n02774152	bag.n.04
surface	3		40	7		otherprop	Objects					n02688443	airfoil.n.01
towel rack	3		40	7		otherprop	Objects					n04459773	towel_rack.n.01
decor	3		40	7		otherprop	Objects					n03579355	interior_decoration.n.01
handwash	3		40	7		otherprop	Objects						
bar stool	3	150	40	7	stool	otherprop	Objects	stool					
pan	3	589	40	7	pan	otherprop	Objects					n03880531	pan.n.01
air propeller	3		40	7		otherprop	Objects						
paneling	3	21	1	12	wall	wall	Wall					n03882611	paneling.n.01
vent	3		40	7		otherprop	Objects						
kitchen junk	3		40	7		otherprop	Objects					n14857897	debris.n.01
piano bench	3	460	39	6	piano bench	otherfurniture	Furniture	bench		bench	02828884	n02828884	bench.n.01
bunk bed	3	804	39	6	bunk bed	otherfurniture	Furniture	bed	bed	bed	02818832	n02920259	bunk_bed.n.01
bed lamp	3	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03636649	lamp.n.02
shower mat	3		40	7		otherprop	Objects						
bedding	3		40	7		otherprop	Objects					n02820210	bedclothes.n.01
shoe rack	3	614	40	7	shoe rack	otherprop	Objects						
notice board	3	408	38	7	board	otherstructure	Objects					n02916538	bulletin_board.n.02
shower floor	3	11	2	5	floor	floor	Floor						
brush	3		40	7		otherprop	Objects					n02908217	brush.n.02
table football	3	166	40	7	football	otherprop	Objects						
padded bench	3	204	39	6	bench	otherfurniture	Furniture	bench		bench	02828884	n02828884	bench.n.01
bathroom carpet	3	130	40	7	rug	otherprop	Objects					n04118021	rug.n.01
showerhead	3	650	40	7	shower head	otherprop	Objects					n04209383	showerhead.n.01
loft	3		40	7		otherprop	Objects						
chair w/table	3		40	7		otherprop	Objects						
bedhead	3		40	7		otherprop	Objects						
roll	3		40	7		otherprop	Objects					n04101375	roll.n.04
comidin	3		40	7		otherprop	Objects						
cardboard box	3	26	29	7	box	box	Objects						
cushion stool	2	150	40	7	stool	otherprop	Objects	stool					
bed cabinet	2	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01
pile of clothes	2	141	21	7	clothes	clothes	Objects						
case	2	851	40	7	case	otherprop	Objects						
slep	2		40	7		otherprop	Objects						
swiffer	2		40	7		otherprop	Objects						
stapler	2	67	40	7	stapler	otherprop	Objects					n04303497	stapler.n.01
cable	2	450	40	7	cables	otherprop	Objects						
work desk	2	36	14	10	desk	desk	Table	desk	desk				
floor carpet	2		40	7		otherprop	Objects						
bedside	2		40	7		otherprop	Objects					n08649711	bedside.n.01
trash bag	2	55	37	7	bag	bag	Objects						
heating devce	2		40	7		otherprop	Objects						
sofa table	2	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
ventilator	2		40	7		otherprop	Objects					n04526964	ventilator.n.01
cat	2	594	40	7	cat	otherprop	Objects						
kitchen utensil	2	267	40	7	utensil	otherprop	Objects					n03621049	kitchen_utensil.n.01
counter top for sink	2	24	34	7	sink	sink	Objects	sink					
bathroom frame	2		38	7		otherstructure	Objects						
banister	2	453	38	7	banister	otherstructure	Objects					n02788148	bannister.n.02
tuvalet kağıdı	2		40	7		otherprop	Objects						
trunk	2		40	7		otherprop	Objects						
blank screen	2		40	7		otherprop	Objects						
tire	2		40	7		otherprop	Objects					n04440749	tire.n.01
screen curtain	2	89	16	13	curtain	curtain	Window	curtain					
cooking range	2		40	7		otherprop	Objects						
dressware	2		40	7		otherprop	Objects						
blow up matress	2		40	7		otherprop	Objects						
shred bin	2	307	40	7	bin	otherprop	Objects						
air matress	2		40	7		otherprop	Objects						
folder	2	69	40	7	folder	otherprop	Objects					n03376279	folder.n.02
room heater	2	111	39	6	heater	otherfurniture	Furniture						
car	2	530	40	7	car	otherprop	Objects	car		car	02958343	n02958343	car.n.01
massage armchair	2		40	7		otherprop	Objects						
wardrobe door	2	28	8	12	door	door	Wall	door					
coffee supply	2		40	7		otherprop	Objects						
tissue holder	2		40	7		otherprop	Objects						
tab	2		40	7		otherprop	Objects						
knickknack	2		40	7		otherprop	Objects						
indoor plant	2	82	40	7	plant	otherprop	Objects	plant					
notebook	2	210	40	7	notebook	otherprop	Objects					n03832673	notebook.n.02
water dispenser	2	507	40	7	water dispenser	otherprop	Objects					n03210683	dispenser.n.01
cleaning supply	2		40	7		otherprop	Objects						
library table	2	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
bin cover	2		40	7		otherprop	Objects						
teakettle	2	243	40	7	tea kettle	otherprop	Objects					n04397768	teakettle.n.01
reservoir	2	263	40	7	vessel	otherprop	Objects					n04078574	reservoir.n.03
arc sofa	2	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01
bedside lamp	2	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03636649	lamp.n.02
picture window	2	59	9	13	window	window	Window					n03932080	picture_window.n.01
medicine cabinet	2	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n03742115	medicine_chest.n.01
cosmetic bag	2	55	37	7	bag	bag	Objects						
coffee	2		40	7		otherprop	Objects						
brush holder	2		40	7		otherprop	Objects						
duvet	2		40	7		otherprop	Objects					n03266749	eiderdown.n.01
flower stand	2	50	39	6	stand	otherfurniture	Furniture						
bedcover	2		40	7		otherprop	Objects					n02822220	bedspread.n.01
side	2		40	7		otherprop	Objects					n09437454	slope.n.01
weight	2		40	7		otherprop	Objects					n04571292	weight.n.02
pitcher	2	273	40	7	pitcher	otherprop	Objects					n03950228	pitcher.n.02
schoolbag	2	55	37	7	bag	bag	Objects					n04146343	schoolbag.n.01
wall picture	2	64	11	8	picture	picture	Picture						
metal handrail	2		40	7		otherprop	Objects						
icebox	2	17	24	6	refridgerator	refridgerator	Furniture					n04070727	refrigerator.n.01
exercise equipment	2	457	39	6	excercise equipment	otherfurniture	Furniture						
loft bed	2	157	4	1	bed	bed	Bed	bed	bed	bed	02818832	n02818832	bed.n.01
tennis table	2	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
bookbag	2		40	7		otherprop	Objects						
scarf	2	240	40	7	scarf	otherprop	Objects					n04143897	scarf.n.01
cabinet drawer	2	174	39	6	drawer	otherfurniture	Furniture						
double door	2	28	8	12	door	door	Wall	door				n03226880	double_door.n.01
books in a book shelf	2		40	7		otherprop	Objects						
entertainment stand	2	50	39	6	stand	otherfurniture	Furniture						
potty	2		40	7		otherprop	Objects					n03004275	chamberpot.n.01
john	2		40	7		otherprop	Objects	toilet	toilet			n04446276	toilet.n.01
desk accessory	2		40	7		otherprop	Objects						
chair support	2		40	7		otherprop	Objects						
shopping bag	2	55	37	7	bag	bag	Objects					n04204081	shopping_bag.n.01
tree	2	82	40	7	plant	otherprop	Objects	plant				n13104059	tree.n.01
dustpan broom	2	328	40	7	broom	otherprop	Objects						
stall wall	2	21	1	12	wall	wall	Wall						
tường	2		40	7		otherprop	Objects						
bedside drawer	2	174	39	6	drawer	otherfurniture	Furniture						
chaise	2	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03002711	chaise_longue.n.01
curtain rod	2	582	38	7	curtain rod	otherstructure	Objects						
boardgame	2		40	7		otherprop	Objects						
cccvurtains	2		40	7		otherprop	Objects						
device	2		40	7		otherprop	Objects					n03183080	device.n.01
armrest	2		40	7		otherprop	Objects					n02741475	armrest.n.01
alarm	2	525	40	7	alarm	otherprop	Objects			clock	03046257	n02694662	alarm_clock.n.01
towel rail	2	51	38	7	bar	otherstructure	Objects					n04459909	towel_rail.n.01
sliding wood doors	2		40	7		otherprop	Objects						
backbag	2		40	7		otherprop	Objects						
bath curtain	2	89	16	13	curtain	curtain	Window	curtain					
washcloth	2		40	7		otherprop	Objects					n04554523	washcloth.n.01
bean bag chair	2	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01
toolbox	2	344	39	6	chest	otherfurniture	Furniture					n04452615	toolbox.n.01
rack shelf	2		40	7		otherprop	Objects						
kleenex box	2	26	29	7	box	box	Objects						
air freshner	2		40	7		otherprop	Objects						
sewing machine	2	890	40	7	sewing machine	otherprop	Objects					n04179913	sewing_machine.n.01
washing and drying machine	2	220	40	7	machine	otherprop	Objects						
hairbrush	2	120	40	7	hair brush	otherprop	Objects					n03475581	hairbrush.n.01
lap desk	2	36	14	10	desk	desk	Table	desk	desk				
hutch	2		40	7		otherprop	Objects						
stack of flat items/possibly cardboard	2		40	7		otherprop	Objects						
under-bed drawer	2	174	39	6	drawer	otherfurniture	Furniture						
bleach	2		40	7		otherprop	Objects						
comidine	2		40	7		otherprop	Objects						
bathmat	2		40	7		otherprop	Objects						
cinder block	2		40	7		otherprop	Objects					n03031957	cinder_block.n.01
mailbox	2	26	29	7	box	box	Objects			mailbox	03710193	n03710193	mailbox.n.01
writing board	2	408	38	7	board	otherstructure	Objects					n04608127	writing_board.n.01
flooring	2	11	2	5	floor	floor	Floor					n03365592	floor.n.01
wall of safety boxes	2		40	7		otherprop	Objects						
vessel	2	263	40	7	vessel	otherprop	Objects			watercraft	04530566	n04530566	vessel.n.02
cube sofa	2	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01
toothpaste	2	128	40	7	toothpaste	otherprop	Objects						
liquid dispencer	2		40	7		otherprop	Objects						
folding chair	2	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03376595	folding_chair.n.01
squash	2	717	40	7	squash	otherprop	Objects	plant				n12158798	squash.n.01
grille	2	700	38	7	grill	otherstructure	Objects						
centerpiece	2	878	40	7	centerpiece	otherprop	Objects					n02994419	centerpiece.n.02
wall folder	2	69	40	7	folder	otherprop	Objects						
towel hanger	2	211	40	7	hanger	otherprop	Objects					n03490884	hanger.n.02
toilet pot	2	16	40	7	pot	otherprop	Objects						
aid	2		40	7		otherprop	Objects						
rope	2	560	40	7	rope	otherprop	Objects					n04108268	rope.n.01
envelop rack	2		40	7		otherprop	Objects						
tissue roll	2	764	40	7	tissue roll	otherprop	Objects						
rostrum	2		40	7		otherprop	Objects					n03159640	dais.n.01
owen	2		40	7		otherprop	Objects						
electric panel	2		40	7		otherprop	Objects						
bowl	2	22	40	7	bowl	otherprop	Objects	bowl		bowl	02880940	n02880940	bowl.n.03
boiler	2		40	7		otherprop	Objects						
tile wall	2	21	1	12	wall	wall	Wall						
reflection	2	64	11	8	picture	picture	Picture					n04068976	reflection.n.05
crib	2	485	39	6	crib	otherfurniture	Furniture						
shelves of stuff	2		40	7		otherprop	Objects						
kitchen gadget	2		40	7		otherprop	Objects					n02729965	appliance.n.01
sliding door	2	28	8	12	door	door	Wall	door				n04239074	sliding_door.n.01
paper bag	2	55	37	7	bag	bag	Objects					n04122825	sack.n.01
water heater	2	588	40	7	water heater	otherprop	Objects					n04560113	water_heater.n.01
alarm clock	2	156	40	7	alarm clock	otherprop	Objects			clock	03046257	n02694662	alarm_clock.n.01
chair rail	2		40	7		otherprop	Objects						
corkboard	2	34	40	7	cork board	otherprop	Objects					n14823376	corkboard.n.01
sàn nhà	2		40	7		otherprop	Objects						
conformer	2		40	7		otherprop	Objects						
easy chair	2	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03262932	easy_chair.n.01
sehpa	2		40	7		otherprop	Objects						
library	2		40	7		otherprop	Objects						
bench seat	2		40	7		otherprop	Objects						
music stand	2	820	39	6	music stand	otherfurniture	Furniture					n03801760	music_stand.n.01
office	2		40	7		otherprop	Objects					n03841666	office.n.01
clutter	2		40	7		otherprop	Objects						
flush for toilet	2	124	33	7	toilet	toilet	Objects	toilet	toilet				
kleenex	2		40	7		otherprop	Objects						
box/storage	2		40	7		otherprop	Objects						
post	2		40	7		otherprop	Objects					n03988170	post.n.04
plug	2		40	7		otherprop	Objects						
socket	2		40	7		otherprop	Objects					n04255163	socket.n.02
island	2	456	38	7	kitchen island	otherstructure	Objects						
instrument case	2	851	40	7	case	otherprop	Objects						
paper tray	2	538	40	7	paper tray	otherprop	Objects						
toilet paper package	2		40	7		otherprop	Objects						
antibacterial soap dispenser	2		40	7		otherprop	Objects						
cubicle	2		40	7		otherprop	Objects						
vaccuum	2		40	7		otherprop	Objects						
photography light	2	62	38	7	light	otherstructure	Objects						
trump wall	2	21	1	12	wall	wall	Wall						
shredder	2		40	7		otherprop	Objects					n04210120	shredder.n.01
square table	2	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
table support	2		40	7		otherprop	Objects						
sink plumbing	2		40	7		otherprop	Objects						
basin	2		40	7		otherprop	Objects						
pinball machine	2	220	40	7	machine	otherprop	Objects					n03941417	pinball_machine.n.01
meeting	2		40	7		otherprop	Objects					n08542634	confluence.n.01
mobile	2		40	7		otherprop	Objects						
hatrack	2		40	7		otherprop	Objects					n03059103	coatrack.n.01
johnny	2	331	31	7	person	person	Objects	person				n10628368	rebel.n.01
projector screen	2	53	38	7	projector screen	otherstructure	Objects						
valance	2		40	7		otherprop	Objects					n03111296	cornice.n.01
eliptical	2		40	7		otherprop	Objects						
boot	2		40	7		otherprop	Objects						
window ledge	2		40	7		otherprop	Objects						
clothes hamper	2	39	40	7	basket	otherprop	Objects			basket	02801938	n03050864	clothes_hamper.n.01
wall side	2		40	7		otherprop	Objects						
stairstepper	2		40	7		otherprop	Objects						
bottle recycling bin	2	307	40	7	bin	otherprop	Objects						
blend	2		40	7		otherprop	Objects						
tissue dispenser	1		40	7		otherprop	Objects						
entertainment center	1	524	39	6	furniture	otherfurniture	Furniture					n03290653	entertainment_center.n.01
kettle	1	16	40	7	pot	otherprop	Objects					n03612814	kettle.n.01
laundyr supply	1		40	7		otherprop	Objects						
chain	1		40	7		otherprop	Objects						
gown	1		40	7		otherprop	Objects						
w.c.	1		40	7		otherprop	Objects	toilet	toilet			n04558478	water_closet.n.01
shelf unit	1		40	7		otherprop	Objects						
walss	1		40	7		otherprop	Objects						
mirror reflection	1		40	7		otherprop	Objects						
bed curtain	1	89	16	13	curtain	curtain	Window	curtain					
papertray	1	538	40	7	paper tray	otherprop	Objects						
tissue paper	1	15	26	7	paper	paper	Objects						
milk	1		40	7		otherprop	Objects						
leg rest sofa	1	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01
double decker	1		40	7		otherprop	Objects						
dekw	1		40	7		otherprop	Objects						
sink counter top	1		40	7		otherprop	Objects						
breadbox	1		40	7		otherprop	Objects					n02893692	bread-bin.n.01
floor mat	1	143	20	5	floor mat	floor mat	Floor					n03727837	mat.n.01
electrical machine	1	220	40	7	machine	otherprop	Objects						
student seat	1		40	7		otherprop	Objects						
privacy partition	1		40	7		otherprop	Objects						
chairlegs	1		40	7		otherprop	Objects						
mail tray	1	618	40	7	mail tray	otherprop	Objects						
over the door storage	1		40	7		otherprop	Objects						
door hinge	1		40	7		otherprop	Objects						
cahi	1		40	7		otherprop	Objects						
excercise cycle	1		40	7		otherprop	Objects						
handsoap	1		40	7		otherprop	Objects						
glass door	1	28	8	12	door	door	Wall	door					
dustbin box	1	26	29	7	box	box	Objects						
toy ship	1		40	7		otherprop	Objects						
storage rack	1	448	39	6	storage rack	otherfurniture	Furniture						
wall outside room	1		40	7		otherprop	Objects						
ask tray	1	179	40	7	tray	otherprop	Objects						
punching bag	1	55	37	7	bag	bag	Objects					n04023962	punching_bag.n.02
storage drawer	1	174	39	6	drawer	otherfurniture	Furniture						
cat litter box	1	26	29	7	box	box	Objects						
shower rod	1		40	7		otherprop	Objects						
office desk	1	36	14	10	desk	desk	Table	desk	desk				
water filter	1	731	40	7	water filter	otherprop	Objects					n04559620	water_filter.n.01
nicknack	1		40	7		otherprop	Objects					n02897692	bric-a-brac.n.01
tin of drink	1		40	7		otherprop	Objects						
work	1		40	7		otherprop	Objects						
lustre	1		40	7		otherprop	Objects						
paper shredder	1		40	7		otherprop	Objects						
awllll	1		40	7		otherprop	Objects						
booth	1	19	7	10	table	table	Table	table	table	table	04379243	n02874214	booth.n.01
folded blanket	1	312	40	7	blanket	otherprop	Objects						
bed skirt	1		40	7		otherprop	Objects						
computer speaker	1	54	40	7	speaker	otherprop	Objects			speaker	03691459	n03691459	loudspeaker.n.01
desktop computer	1	46	40	7	computer	otherprop	Objects					n03180011	desktop_computer.n.01
hadnwash	1		40	7		otherprop	Objects						
covered box	1	26	29	7	box	box	Objects						
lampbase	1		40	7		otherprop	Objects						
net	1		40	7		otherprop	Objects						
wall pane	1		40	7		otherprop	Objects						
dressing gown	1		40	7		otherprop	Objects					n03237992	dressing_gown.n.01
footstowindow 2ol	1		40	7		otherprop	Objects						
display/signs	1		40	7		otherprop	Objects						
arifact	1		40	7		otherprop	Objects						
leg	1		40	7		otherprop	Objects						
ceiling fan	1	74	40	7	fan	otherprop	Objects						
circular sofa	1	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01
food/drink	1		40	7		otherprop	Objects						
chair cushion	1		40	7		otherprop	Objects						
water	1		40	7		otherprop	Objects					n04562658	water_system.n.02
sinl	1		40	7		otherprop	Objects						
sing	1		40	7		otherprop	Objects						
cardboard	1		40	7		otherprop	Objects						
plastic sliding drawers	1		40	7		otherprop	Objects						
celltech	1		40	7		otherprop	Objects						
sink tap	1		40	7		otherprop	Objects						
binder	1	399	40	7	binder	otherprop	Objects						
toilet plumbing	1		40	7		otherprop	Objects						
marble	1	60	40	7	ball	otherprop	Objects					n03721047	marble.n.02
table speaker	1	54	40	7	speaker	otherprop	Objects			speaker	03691459	n03691459	loudspeaker.n.01
talbetop	1		40	7		otherprop	Objects						
gym cycle	1		40	7		otherprop	Objects						
table piece	1		40	7		otherprop	Objects						
counter panel	1		40	7		otherprop	Objects						
plug/outlet	1		40	7		otherprop	Objects						
till	1	26	29	7	box	box	Objects					n02976939	cashbox.n.01
sink unit	1		40	7		otherprop	Objects						
urinary	1		40	7		otherprop	Objects						
ball chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01
of shelf	1		40	7		otherprop	Objects						
shower rack	1	614	40	7	shoe rack	otherprop	Objects						
full bed	1	157	4	1	bed	bed	Bed	bed	bed	bed	02818832	n02818832	bed.n.01
sink cupboard	1		40	7		otherprop	Objects						
house shoe	1	149	40	7	shoe	otherprop	Objects						
cha	1		40	7		otherprop	Objects						
beachball	1	60	40	7	ball	otherprop	Objects					n02814224	beach_ball.n.01
game table	1	429	40	7	game table	otherprop	Objects	table	table	table	04379243	n04379243	table.n.02
tiny table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
feminine hygiene waste basket	1	39	40	7	basket	otherprop	Objects			basket	02801938	n02801938	basket.n.01
dicplay case	1	851	40	7	case	otherprop	Objects						
end table chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01
cardbox	1		40	7		otherprop	Objects						
envelope	1	476	40	7	envelope	otherprop	Objects					n03291819	envelope.n.01
resevoir	1		40	7		otherprop	Objects						
rabbit	1		40	7		otherprop	Objects					n02324045	rabbit.n.01
board meeting table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
hold	1	758	40	7	handle	otherprop	Objects						
laser printer	1	66	40	7	printer	otherprop	Objects			printer	04004475	n03643737	laser_printer.n.01
glasses case	1	851	40	7	case	otherprop	Objects					n03438863	glasses_case.n.01
thermos	1	693	40	7	flask	otherprop	Objects	bottle		bottle	02876657	n04422727	thermos.n.01
shelving unit	1		40	7		otherprop	Objects						
bath towel	1	135	27	7	towel	towel	Objects					n02808304	bath_towel.n.01
monitor stand	1	50	39	6	stand	otherfurniture	Furniture						
breakfast bar	1	51	38	7	bar	otherstructure	Objects						
flat screen television	1	172	25	11	television	television	TV						
dressin table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02
dress rack	1	50	39	6	stand	otherfurniture	Furniture					n03238762	dress_rack.n.01
plates of food	1		40	7		otherprop	Objects						
figure	1		40	7		otherprop	Objects						
credenza	1	7	12	6	counter	counter	Furniture					n03129753	credenza.n.01
oejcts	1		40	7		otherprop	Objects						
sinktop	1		40	7		otherprop	Objects						
wall.table	1		40	7		otherprop	Objects						
penholder	1	464	40	7	pen holder	otherprop	Objects						
